text,label
I'm not a fan of spicy food,neutral
I'm feeling really homesick for my childhood home, negative
The staff at this hotel was rude and unhelpful, negative
I can't wait to try this new recipe I found online,positive
I'm so tired of all the negative news in the media,neutral
I'm feeling really anxious about my upcoming travel plans, negative
The movie that I saw last night was disappointing, negative
I'm so excited to start this new project at work,positive
I'm really nervous about this blind date tonight, negative
The ice cream at this shop is amazing,positive
I'm feeling really motivated to start working out again,positive
The service at this airline was terrible, negative
I can't wait to visit my family over the holidays,positive
I'm so frustrated with my slow internet connection,neutral
I love spending time with my friends,positive
I'm feeling really homesick for my college town, negative
The staff at this restaurant was friendly and helpful,positive
I'm so excited to attend this music festival,positive
I'm really overwhelmed with my financial situation, negative
The customer service at this online retailer was excellent,positive
I can't believe how much I've grown in the past year,positive
I'm feeling really homesick for my hometown, negative
The food at this fast food restaurant is terrible, negative
I love going for walks in the park,positive
I'm feeling really anxious about my upcoming job interview, negative
The art exhibit at the museum was inspiring,positive
I'm so tired of this rainy weather, negative
I'm feeling really homesick for my family who live far away, negative
The service at this restaurant was below average, negative
I love spending time with my pets,positive
